method,target_hit,log_p_target,log_p_day_total
baseline,0.42857142857142855,-2.495005016444229,-0.5146161489923968
linear,1.0,-0.4293016856287468,-0.3973578331225661
manifold,1.0,-0.6629294230365848,-0.38640588198959813
